Percentage of Emergency Department visits with Diagnosed COVID-19 in United States
Date generated: Thu Oct 31 2024 15:30:31 GMT-0500 (Central Daylight Time)
Date,Age Range,Daily Percent of ED Visits with diagnosed COVID-19,7-day Average of ED Visits with diagnosed COVID-19
2023-12-23,65 to 74,4.39,3.68
2023-12-23,75+,5.89,4.96
2023-12-23,All Ages,3.11,2.81
2023-12-24,00 to 11,2.71,2.46
2023-12-24,12 to 15,2,1.61
2023-12-24,16 to 17,1.65,1.86
2023-12-24,18 to 24,2.18,2.1
2023-12-24,25 to 39,2.31,2.15
2023-12-24,40 to 49,2.76,2.43
2023-12-24,50 to 64,3.59,2.82
2023-12-24,65 to 74,5.08,3.86
2023-12-24,75+,6.48,5.14
2023-12-24,All Ages,3.49,2.9
2023-12-25,00 to 11,2.79,2.56
2023-12-25,12 to 15,1.54,1.59
2023-12-25,16 to 17,2.24,1.91
2023-12-25,18 to 24,2.54,2.17
2023-12-25,25 to 39,2.57,2.24
2023-12-25,40 to 49,2.96,2.55
2023-12-25,50 to 64,3.73,3
2023-12-25,65 to 74,5.27,4.11
2023-12-25,75+,6.47,5.41
2023-12-25,All Ages,3.6,3.05
2023-12-26,00 to 11,2.75,2.61
2023-12-26,12 to 15,1.52,1.58
2023-12-26,16 to 17,2.04,1.94
2023-12-26,18 to 24,2.35,2.21
2023-12-26,25 to 39,2.49,2.28
2023-12-26,40 to 49,2.74,2.6
2023-12-26,50 to 64,3.19,3.08
2023-12-26,65 to 74,4.01,4.19
2023-12-26,75+,5.79,5.56
2023-12-26,All Ages,3.26,3.12
2023-12-27,00 to 11,3.01,2.71
2023-12-27,12 to 15,1.35,1.55
2023-12-27,16 to 17,1.9,1.93
2023-12-27,18 to 24,2.51,2.25
2023-12-27,25 to 39,2.57,2.33
2023-12-27,40 to 49,2.71,2.63
2023-12-27,50 to 64,3.16,3.15
2023-12-27,65 to 74,4.33,4.3
2023-12-27,75+,5.89,5.71
2023-12-27,All Ages,3.35,3.2
2023-12-28,00 to 11,3.21,2.8
2023-12-28,12 to 15,1.34,1.57
2023-12-28,16 to 17,2.25,1.96
2023-12-28,18 to 24,2.53,2.33
2023-12-28,25 to 39,2.53,2.39
2023-12-28,40 to 49,2.67,2.66
2023-12-28,50 to 64,3.22,3.22
2023-12-28,65 to 74,4.54,4.43
2023-12-28,75+,6.48,5.95
2023-12-28,All Ages,3.5,3.3
2023-12-29,00 to 11,3.02,2.85
2023-12-29,12 to 15,1.53,1.58
2023-12-29,16 to 17,1.8,1.95
2023-12-29,18 to 24,2.46,2.39
2023-12-29,25 to 39,2.24,2.42
2023-12-29,40 to 49,2.53,2.69
2023-12-29,50 to 64,3.15,3.28
2023-12-29,65 to 74,4.38,4.52
2023-12-29,75+,6.14,6.15
2023-12-29,All Ages,3.34,3.37
2023-12-30,00 to 11,2.97,2.92
2023-12-30,12 to 15,1.43,1.53
2023-12-30,16 to 17,1.51,1.91
2023-12-30,18 to 24,2.32,2.42
2023-12-30,25 to 39,2.36,2.44
2023-12-30,40 to 49,2.63,2.71
2023-12-30,50 to 64,3.41,3.33
2023-12-30,65 to 74,4.65,4.56
2023-12-30,75+,6.62,6.24
2023-12-30,All Ages,3.44,3.42
2023-12-31,00 to 11,2.9,2.95
2023-12-31,12 to 15,1.17,1.42
2023-12-31,16 to 17,2.01,1.96
2023-12-31,18 to 24,2.38,2.44
2023-12-31,25 to 39,2.47,2.46
2023-12-31,40 to 49,2.64,2.69
2023-12-31,50 to 64,3.54,3.32
2023-12-31,65 to 74,4.84,4.53
2023-12-31,75+,6.58,6.26
2023-12-31,All Ages,3.53,3.42
2024-01-01,00 to 11,3.05,2.99
2024-01-01,12 to 15,1.16,1.36
2024-01-01,16 to 17,1.69,1.88
2024-01-01,18 to 24,2.2,2.39
2024-01-01,25 to 39,2.4,2.44
2024-01-01,40 to 49,2.84,2.68
2024-01-01,50 to 64,3.42,3.29
2024-01-01,65 to 74,4.66,4.46
2024-01-01,75+,6.5,6.26
2024-01-01,All Ages,3.4,3.4
2024-01-02,00 to 11,2.83,3
2024-01-02,12 to 15,1.37,1.34
2024-01-02,16 to 17,1.55,1.81
2024-01-02,18 to 24,2.14,2.36
2024-01-02,25 to 39,2.33,2.41
2024-01-02,40 to 49,2.56,2.65
2024-01-02,50 to 64,2.97,3.25
2024-01-02,65 to 74,3.83,4.44
2024-01-02,75+,5.27,6.18
2024-01-02,All Ages,3.06,3.37
