Percentage of Emergency Department visits with Diagnosed COVID-19 in United States
Date generated: Thu Oct 31 2024 15:30:31 GMT-0500 (Central Daylight Time)
Date,Age Range,Daily Percent of ED Visits with diagnosed COVID-19,7-day Average of ED Visits with diagnosed COVID-19
2024-07-23,12 to 15,1.08,1
2024-07-23,16 to 17,1.14,1.28
2024-07-23,18 to 24,2,1.7
2024-07-23,25 to 39,1.76,1.59
2024-07-23,40 to 49,1.86,1.63
2024-07-23,50 to 64,1.89,1.84
2024-07-23,65 to 74,2.35,2.46
2024-07-23,75+,3.18,3.32
2024-07-23,All Ages,2.19,2.11
2024-07-24,00 to 11,3.7,3.25
2024-07-24,12 to 15,1.24,1.05
2024-07-24,16 to 17,1.24,1.27
2024-07-24,18 to 24,2.04,1.75
2024-07-24,25 to 39,1.84,1.63
2024-07-24,40 to 49,1.84,1.68
2024-07-24,50 to 64,2.01,1.86
2024-07-24,65 to 74,2.44,2.49
2024-07-24,75+,3.44,3.38
2024-07-24,All Ages,2.32,2.16
2024-07-25,00 to 11,3.55,3.32
2024-07-25,12 to 15,1.02,1.06
2024-07-25,16 to 17,1.36,1.28
2024-07-25,18 to 24,1.9,1.78
2024-07-25,25 to 39,1.85,1.66
2024-07-25,40 to 49,1.76,1.71
2024-07-25,50 to 64,2.01,1.91
2024-07-25,65 to 74,2.52,2.5
2024-07-25,75+,3.46,3.44
2024-07-25,All Ages,2.3,2.2
2024-07-26,00 to 11,3.49,3.4
2024-07-26,12 to 15,0.91,1.06
2024-07-26,16 to 17,1.43,1.34
2024-07-26,18 to 24,1.8,1.82
2024-07-26,25 to 39,1.6,1.68
2024-07-26,40 to 49,1.66,1.74
2024-07-26,50 to 64,1.97,1.95
2024-07-26,65 to 74,2.64,2.55
2024-07-26,75+,3.4,3.49
2024-07-26,All Ages,2.24,2.24
2024-07-27,00 to 11,3.77,3.5
2024-07-27,12 to 15,1.23,1.08
2024-07-27,16 to 17,1.43,1.34
2024-07-27,18 to 24,1.67,1.84
2024-07-27,25 to 39,1.71,1.72
2024-07-27,40 to 49,1.9,1.79
2024-07-27,50 to 64,2.03,1.96
2024-07-27,65 to 74,3.1,2.58
2024-07-27,75+,3.96,3.51
2024-07-27,All Ages,2.44,2.27
2024-07-28,00 to 11,3.65,3.54
2024-07-28,12 to 15,1.17,1.11
2024-07-28,16 to 17,1.33,1.33
2024-07-28,18 to 24,1.78,1.85
2024-07-28,25 to 39,1.87,1.76
2024-07-28,40 to 49,1.98,1.82
2024-07-28,50 to 64,2.41,2
2024-07-28,65 to 74,3.14,2.63
2024-07-28,75+,4.15,3.54
2024-07-28,All Ages,2.57,2.31
2024-07-29,00 to 11,3.65,3.59
2024-07-29,12 to 15,1.06,1.1
2024-07-29,16 to 17,1.25,1.31
2024-07-29,18 to 24,2.05,1.9
2024-07-29,25 to 39,1.91,1.79
2024-07-29,40 to 49,1.91,1.85
2024-07-29,50 to 64,1.94,2.03
2024-07-29,65 to 74,2.51,2.65
2024-07-29,75+,3.52,3.57
2024-07-29,All Ages,2.35,2.34
2024-07-30,00 to 11,3.87,3.67
2024-07-30,12 to 15,1.41,1.15
2024-07-30,16 to 17,1.34,1.34
2024-07-30,18 to 24,2.19,1.92
2024-07-30,25 to 39,2.08,1.84
2024-07-30,40 to 49,1.98,1.86
2024-07-30,50 to 64,2.12,2.06
2024-07-30,65 to 74,2.59,2.69
2024-07-30,75+,3.36,3.59
2024-07-30,All Ages,2.46,2.38
2024-07-31,00 to 11,4.04,3.72
2024-07-31,12 to 15,1.26,1.15
2024-07-31,16 to 17,1.77,1.42
2024-07-31,18 to 24,2.25,1.95
2024-07-31,25 to 39,2.14,1.89
2024-07-31,40 to 49,2.01,1.89
2024-07-31,50 to 64,2.35,2.11
2024-07-31,65 to 74,2.81,2.74
2024-07-31,75+,3.71,3.63
2024-07-31,All Ages,2.61,2.42
2024-08-01,00 to 11,3.96,3.77
2024-08-01,12 to 15,1.26,1.19
2024-08-01,16 to 17,1.6,1.45
2024-08-01,18 to 24,2.03,1.97
2024-08-01,25 to 39,1.94,1.9
2024-08-01,40 to 49,1.84,1.9
2024-08-01,50 to 64,2.09,2.12
2024-08-01,65 to 74,2.9,2.8
2024-08-01,75+,3.74,3.67
2024-08-01,All Ages,2.49,2.45
2024-08-02,00 to 11,4.04,3.85
2024-08-02,12 to 15,1.18,1.22
2024-08-02,16 to 17,1.32,1.43
2024-08-02,18 to 24,1.93,1.99
2024-08-02,25 to 39,1.89,1.94
2024-08-02,40 to 49,1.75,1.91
2024-08-02,50 to 64,2.05,2.13
2024-08-02,65 to 74,2.7,2.81
2024-08-02,75+,3.61,3.7
2024-08-02,All Ages,2.42,2.48
2024-08-03,00 to 11,4.38,3.94
2024-08-03,12 to 15,1.33,1.24
2024-08-03,16 to 17,1.22,1.4
2024-08-03,18 to 24,1.79,2.01
2024-08-03,25 to 39,1.79,1.95
2024-08-03,40 to 49,1.82,1.9
2024-08-03,50 to 64,2.13,2.15
2024-08-03,65 to 74,3.19,2.82
2024-08-03,75+,4.26,3.74
2024-08-03,All Ages,2.59,2.5
2024-08-04,00 to 11,4.12,4.01
2024-08-04,12 to 15,1.51,1.29
2024-08-04,16 to 17,1.77,1.47
2024-08-04,18 to 24,2,2.04
2024-08-04,25 to 39,1.89,1.95
2024-08-04,40 to 49,2.12,1.92
2024-08-04,50 to 64,2.45,2.15
2024-08-04,65 to 74,3.38,2.85
2024-08-04,75+,4.31,3.76
2024-08-04,All Ages,2.73,2.52
2024-08-05,00 to 11,3.96,4.05
2024-08-05,12 to 15,1.3,1.32
2024-08-05,16 to 17,1.66,1.53
2024-08-05,18 to 24,1.94,2.02
2024-08-05,25 to 39,1.97,1.96
2024-08-05,40 to 49,1.82,1.91
2024-08-05,50 to 64,2.12,2.18
2024-08-05,65 to 74,2.45,2.84
2024-08-05,75+,3.69,3.79
2024-08-05,All Ages,2.43,2.53
2024-08-06,00 to 11,3.98,4.07
2024-08-06,12 to 15,1.45,1.33
2024-08-06,16 to 17,1.61,1.57
2024-08-06,18 to 24,2.13,2.01
2024-08-06,25 to 39,2.06,1.96
2024-08-06,40 to 49,2.01,1.91
2024-08-06,50 to 64,2.21,2.19
2024-08-06,65 to 74,2.78,2.87
2024-08-06,75+,3.81,3.86
2024-08-06,All Ages,2.56,2.55
2024-08-07,00 to 11,4.07,4.07
2024-08-07,12 to 15,1.49,1.36
2024-08-07,16 to 17,1.6,1.54
2024-08-07,18 to 24,2.13,2
2024-08-07,25 to 39,1.97,1.93
2024-08-07,40 to 49,2.01,1.91
2024-08-07,50 to 64,2.24,2.18
2024-08-07,65 to 74,2.84,2.87
2024-08-07,75+,3.75,3.86
2024-08-07,All Ages,2.56,2.54
2024-08-08,00 to 11,4.11,4.09
2024-08-08,12 to 15,1.44,1.39
2024-08-08,16 to 17,1.14,1.48
2024-08-08,18 to 24,2.09,2
2024-08-08,25 to 39,1.91,1.93
2024-08-08,40 to 49,1.88,1.92
2024-08-08,50 to 64,2.1,2.18
2024-08-08,65 to 74,2.81,2.86
2024-08-08,75+,3.62,3.85
2024-08-08,All Ages,2.48,2.54
2024-08-09,00 to 11,4.19,4.11
2024-08-09,12 to 15,1.28,1.4
2024-08-09,16 to 17,1.7,1.53
2024-08-09,18 to 24,1.88,2
2024-08-09,25 to 39,1.84,1.92
2024-08-09,40 to 49,1.95,1.94
2024-08-09,50 to 64,2.03,2.18
2024-08-09,65 to 74,2.79,2.87
2024-08-09,75+,3.79,3.87
2024-08-09,All Ages,2.49,2.55
2024-08-10,00 to 11,4.3,4.1
2024-08-10,12 to 15,1.38,1.41
2024-08-10,16 to 17,1.81,1.61
2024-08-10,18 to 24,1.82,2
2024-08-10,25 to 39,1.77,1.92
2024-08-10,40 to 49,1.74,1.93
2024-08-10,50 to 64,2.37,2.21
2024-08-10,65 to 74,3.35,2.9
2024-08-10,75+,4.29,3.88
2024-08-10,All Ages,2.66,2.56
2024-08-11,00 to 11,4.27,4.13
2024-08-11,12 to 15,2.06,1.49
2024-08-11,16 to 17,1.73,1.61
2024-08-11,18 to 24,2.02,2
2024-08-11,25 to 39,1.88,1.92
2024-08-11,40 to 49,2.04,1.92
2024-08-11,50 to 64,2.53,2.22
2024-08-11,65 to 74,3.3,2.88
2024-08-11,75+,4.4,3.89
2024-08-11,All Ages,2.77,2.56
2024-08-12,00 to 11,4.02,4.13
2024-08-12,12 to 15,1.98,1.6
2024-08-12,16 to 17,1.82,1.63
2024-08-12,18 to 24,2.02,2.02
2024-08-12,25 to 39,1.93,1.91
2024-08-12,40 to 49,1.95,1.94
2024-08-12,50 to 64,2.18,2.23
2024-08-12,65 to 74,2.75,2.93
2024-08-12,75+,3.58,3.87
2024-08-12,All Ages,2.51,2.57
2024-08-13,00 to 11,4.27,4.18
2024-08-13,12 to 15,2.02,1.68
2024-08-13,16 to 17,1.83,1.66
2024-08-13,18 to 24,2.3,2.04
2024-08-13,25 to 39,2.09,1.92
2024-08-13,40 to 49,1.94,1.93
2024-08-13,50 to 64,2.15,2.22
2024-08-13,65 to 74,2.61,2.9
2024-08-13,75+,3.67,3.85
2024-08-13,All Ages,2.58,2.57
2024-08-14,00 to 11,4.12,4.18
2024-08-14,12 to 15,1.92,1.75
2024-08-14,16 to 17,1.93,1.71
2024-08-14,18 to 24,2.19,2.05
2024-08-14,25 to 39,2.04,1.93
2024-08-14,40 to 49,2.04,1.93
2024-08-14,50 to 64,2.14,2.21
2024-08-14,65 to 74,2.93,2.92
2024-08-14,75+,3.68,3.84
2024-08-14,All Ages,2.59,2.58
2024-08-15,00 to 11,4.46,4.23
2024-08-15,12 to 15,2.26,1.86
2024-08-15,16 to 17,2.27,1.88
2024-08-15,18 to 24,2.2,2.07
2024-08-15,25 to 39,1.98,1.94
2024-08-15,40 to 49,1.78,1.92
2024-08-15,50 to 64,2.15,2.21
2024-08-15,65 to 74,2.85,2.92
2024-08-15,75+,3.82,3.87
2024-08-15,All Ages,2.61,2.6
2024-08-16,00 to 11,4.17,4.23
2024-08-16,12 to 15,2.01,1.96
2024-08-16,16 to 17,1.83,1.89
2024-08-16,18 to 24,1.99,2.08
2024-08-16,25 to 39,1.85,1.94
2024-08-16,40 to 49,1.67,1.88
2024-08-16,50 to 64,2.12,2.23
2024-08-16,65 to 74,2.69,2.91
2024-08-16,75+,3.76,3.87
2024-08-16,All Ages,2.49,2.6
2024-08-17,00 to 11,4.27,4.22
2024-08-17,12 to 15,2.23,2.07
2024-08-17,16 to 17,1.77,1.89
2024-08-17,18 to 24,1.8,2.08
2024-08-17,25 to 39,1.71,1.93
2024-08-17,40 to 49,1.95,1.91
2024-08-17,50 to 64,2.25,2.21
2024-08-17,65 to 74,3.15,2.88
2024-08-17,75+,4.36,3.88
2024-08-17,All Ages,2.65,2.6
2024-08-18,00 to 11,4.69,4.29
2024-08-18,12 to 15,2.94,2.19
2024-08-18,16 to 17,2.44,1.98
2024-08-18,18 to 24,1.98,2.07
2024-08-18,25 to 39,1.94,1.94
2024-08-18,40 to 49,2.1,1.92
2024-08-18,50 to 64,2.49,2.2
2024-08-18,65 to 74,3.4,2.89
2024-08-18,75+,4.33,3.87
2024-08-18,All Ages,2.88,2.61
2024-08-19,00 to 11,4.35,4.34
2024-08-19,12 to 15,2.63,2.29
2024-08-19,16 to 17,2.24,2.05
2024-08-19,18 to 24,2.03,2.07
2024-08-19,25 to 39,1.96,1.94
2024-08-19,40 to 49,1.82,1.9
2024-08-19,50 to 64,2.16,2.2
2024-08-19,65 to 74,2.77,2.9
2024-08-19,75+,3.72,3.89
2024-08-19,All Ages,2.58,2.62
2024-08-20,00 to 11,4.55,4.38
2024-08-20,12 to 15,2.64,2.39
2024-08-20,16 to 17,2.38,2.13
2024-08-20,18 to 24,2.13,2.05
2024-08-20,25 to 39,2.11,1.94
2024-08-20,40 to 49,1.9,1.89
2024-08-20,50 to 64,2.18,2.21
2024-08-20,65 to 74,2.74,2.92
2024-08-20,75+,3.58,3.88
2024-08-20,All Ages,2.64,2.63
2024-08-21,00 to 11,4.39,4.42
2024-08-21,12 to 15,2.38,2.45
2024-08-21,16 to 17,2.08,2.15
2024-08-21,18 to 24,2.27,2.06
2024-08-21,25 to 39,2.19,1.96
2024-08-21,40 to 49,1.95,1.88
2024-08-21,50 to 64,2.09,2.2
2024-08-21,65 to 74,2.66,2.88
2024-08-21,75+,3.49,3.85
2024-08-21,All Ages,2.61,2.64
2024-08-22,00 to 11,4.28,4.39
2024-08-22,12 to 15,2.58,2.5
2024-08-22,16 to 17,2.28,2.15
2024-08-22,18 to 24,2.02,2.03
2024-08-22,25 to 39,2.02,1.97
2024-08-22,40 to 49,1.87,1.89
2024-08-22,50 to 64,2.03,2.18
2024-08-22,65 to 74,2.58,2.84
2024-08-22,75+,3.28,3.77
2024-08-22,All Ages,2.5,2.62
2024-08-23,00 to 11,3.91,4.35
2024-08-23,12 to 15,2.32,2.53
2024-08-23,16 to 17,2.12,2.19
2024-08-23,18 to 24,1.93,2.02
2024-08-23,25 to 39,1.83,1.97
2024-08-23,40 to 49,1.81,1.91
2024-08-23,50 to 64,2,2.17
2024-08-23,65 to 74,2.53,2.82
2024-08-23,75+,3.65,3.76
2024-08-23,All Ages,2.44,2.61
2024-08-24,00 to 11,3.91,4.3
2024-08-24,12 to 15,2.26,2.53
2024-08-24,16 to 17,2.3,2.26
2024-08-24,18 to 24,1.93,2.04
2024-08-24,25 to 39,1.79,1.98
2024-08-24,40 to 49,1.85,1.9
2024-08-24,50 to 64,2.11,2.15
2024-08-24,65 to 74,3.16,2.82
2024-08-24,75+,4.28,3.74
2024-08-24,All Ages,2.62,2.61
2024-08-25,00 to 11,3.81,4.17
2024-08-25,12 to 15,2.9,2.53
2024-08-25,16 to 17,2.64,2.29
2024-08-25,18 to 24,1.77,2.01
2024-08-25,25 to 39,1.81,1.96
2024-08-25,40 to 49,2.03,1.89
2024-08-25,50 to 64,2.46,2.14
2024-08-25,65 to 74,3.31,2.81
2024-08-25,75+,4.24,3.73
2024-08-25,All Ages,2.71,2.59
2024-08-26,00 to 11,3.75,4.07
2024-08-26,12 to 15,3.16,2.62
2024-08-26,16 to 17,2.82,2.38
2024-08-26,18 to 24,2.1,2.02
2024-08-26,25 to 39,1.87,1.95
2024-08-26,40 to 49,1.92,1.91
2024-08-26,50 to 64,2.11,2.14
2024-08-26,65 to 74,2.77,2.81
2024-08-26,75+,3.51,3.7
2024-08-26,All Ages,2.52,2.58
2024-08-27,00 to 11,3.73,3.96
2024-08-27,12 to 15,2.75,2.64
2024-08-27,16 to 17,2.6,2.42
2024-08-27,18 to 24,2.23,2.04
2024-08-27,25 to 39,2.05,1.94
2024-08-27,40 to 49,1.95,1.91
2024-08-27,50 to 64,2.04,2.12
2024-08-27,65 to 74,2.63,2.79
2024-08-27,75+,3.59,3.7
2024-08-27,All Ages,2.53,2.56
2024-08-28,00 to 11,3.4,3.82
2024-08-28,12 to 15,2.18,2.61
2024-08-28,16 to 17,2.19,2.43
2024-08-28,18 to 24,2.12,2.02
2024-08-28,25 to 39,1.94,1.91
2024-08-28,40 to 49,1.86,1.9
2024-08-28,50 to 64,2.02,2.11
2024-08-28,65 to 74,2.7,2.8
2024-08-28,75+,3.55,3.71
2024-08-28,All Ages,2.43,2.53
2024-08-29,00 to 11,3.49,3.71
2024-08-29,12 to 15,2.42,2.58
2024-08-29,16 to 17,2.29,2.43
2024-08-29,18 to 24,1.86,2
2024-08-29,25 to 39,1.8,1.88
2024-08-29,40 to 49,1.79,1.89
2024-08-29,50 to 64,1.96,2.1
2024-08-29,65 to 74,2.49,2.78
2024-08-29,75+,3.46,3.74
2024-08-29,All Ages,2.35,2.51
2024-08-30,00 to 11,3.24,3.62
2024-08-30,12 to 15,2.23,2.57
2024-08-30,16 to 17,1.68,2.36
2024-08-30,18 to 24,1.66,1.96
2024-08-30,25 to 39,1.46,1.82
2024-08-30,40 to 49,1.66,1.87
2024-08-30,50 to 64,1.82,2.07
2024-08-30,65 to 74,2.44,2.77
2024-08-30,75+,3.44,3.71
2024-08-30,All Ages,2.17,2.47
2024-08-31,00 to 11,3.12,3.51
2024-08-31,12 to 15,1.68,2.5
2024-08-31,16 to 17,2.15,2.35
2024-08-31,18 to 24,1.6,1.91
2024-08-31,25 to 39,1.52,1.79
2024-08-31,40 to 49,1.59,1.83
2024-08-31,50 to 64,1.96,2.05
2024-08-31,65 to 74,2.95,2.74
2024-08-31,75+,3.98,3.67
2024-08-31,All Ages,2.3,2.43
2024-09-01,00 to 11,3.01,3.39
2024-09-01,12 to 15,2.23,2.42
2024-09-01,16 to 17,1.86,2.25
2024-09-01,18 to 24,1.72,1.91
2024-09-01,25 to 39,1.52,1.75
2024-09-01,40 to 49,1.67,1.78
2024-09-01,50 to 64,2.07,2
2024-09-01,65 to 74,3.05,2.71
2024-09-01,75+,4.02,3.64
2024-09-01,All Ages,2.35,2.38
2024-09-02,00 to 11,3.13,3.3
2024-09-02,12 to 15,2.41,2.29
2024-09-02,16 to 17,2.17,2.14
2024-09-02,18 to 24,2.08,1.9
2024-09-02,25 to 39,1.66,1.72
2024-09-02,40 to 49,1.83,1.77
2024-09-02,50 to 64,2.14,2
2024-09-02,65 to 74,2.97,2.74
2024-09-02,75+,4.13,3.73
2024-09-02,All Ages,2.47,2.37
2024-09-03,00 to 11,2.67,3.14
2024-09-03,12 to 15,2.06,2.18
2024-09-03,16 to 17,1.95,2.04
2024-09-03,18 to 24,1.81,1.84
2024-09-03,25 to 39,1.64,1.65
2024-09-03,40 to 49,1.64,1.72
2024-09-03,50 to 64,1.8,1.96
2024-09-03,65 to 74,2.28,2.68
2024-09-03,75+,3.06,3.64
2024-09-03,All Ages,2.08,2.3
2024-09-04,00 to 11,2.45,3.01
2024-09-04,12 to 15,1.66,2.1
2024-09-04,16 to 17,1.84,1.99
2024-09-04,18 to 24,1.82,1.8
2024-09-04,25 to 39,1.67,1.61
2024-09-04,40 to 49,1.72,1.7
2024-09-04,50 to 64,1.82,1.93
2024-09-04,65 to 74,2.52,2.65
2024-09-04,75+,3.24,3.6
2024-09-04,All Ages,2.1,2.25
2024-09-05,00 to 11,2.4,2.86
2024-09-05,12 to 15,1.29,1.91
2024-09-05,16 to 17,1.75,1.91
2024-09-05,18 to 24,1.68,1.77
2024-09-05,25 to 39,1.56,1.58
2024-09-05,40 to 49,1.61,1.68
2024-09-05,50 to 64,1.73,1.9
2024-09-05,65 to 74,2.28,2.62
2024-09-05,75+,3.13,3.55
2024-09-05,All Ages,1.98,2.2
2024-09-06,00 to 11,2.44,2.76
2024-09-06,12 to 15,1.52,1.82
2024-09-06,16 to 17,1.35,1.85
2024-09-06,18 to 24,1.44,1.74
2024-09-06,25 to 39,1.34,1.56
2024-09-06,40 to 49,1.44,1.64
2024-09-06,50 to 64,1.61,1.87
2024-09-06,65 to 74,2.17,2.58
2024-09-06,75+,3.09,3.5
2024-09-06,All Ages,1.87,2.16
2024-09-07,00 to 11,2.35,2.65
2024-09-07,12 to 15,1.23,1.76
2024-09-07,16 to 17,1.13,1.72
2024-09-07,18 to 24,1.65,1.74
2024-09-07,25 to 39,1.28,1.53
2024-09-07,40 to 49,1.39,1.62
2024-09-07,50 to 64,1.69,1.84
2024-09-07,65 to 74,2.62,2.54
2024-09-07,75+,3.53,3.44
2024-09-07,All Ages,1.97,2.11
2024-09-08,00 to 11,2.4,2.56
2024-09-08,12 to 15,1.46,1.67
2024-09-08,16 to 17,1.46,1.67
2024-09-08,18 to 24,1.4,1.7
2024-09-08,25 to 39,1.28,1.5
2024-09-08,40 to 49,1.51,1.6
2024-09-08,50 to 64,1.74,1.79
2024-09-08,65 to 74,2.61,2.48
2024-09-08,75+,3.69,3.39
2024-09-08,All Ages,1.99,2.07
2024-09-09,00 to 11,2.04,2.39
2024-09-09,12 to 15,1.43,1.54
2024-09-09,16 to 17,1.55,1.59
2024-09-09,18 to 24,1.37,1.6
2024-09-09,25 to 39,1.32,1.45
2024-09-09,40 to 49,1.41,1.53
2024-09-09,50 to 64,1.51,1.7
2024-09-09,65 to 74,2.11,2.35
2024-09-09,75+,2.9,3.22
2024-09-09,All Ages,1.75,1.96
2024-09-10,00 to 11,1.99,2.29
2024-09-10,12 to 15,1.31,1.42
2024-09-10,16 to 17,1.55,1.53
2024-09-10,18 to 24,1.5,1.55
2024-09-10,25 to 39,1.35,1.41
2024-09-10,40 to 49,1.35,1.49
2024-09-10,50 to 64,1.47,1.65
2024-09-10,65 to 74,2.14,2.33
2024-09-10,75+,2.93,3.2
2024-09-10,All Ages,1.75,1.91
2024-09-11,00 to 11,2.03,2.23
2024-09-11,12 to 15,1.21,1.35
2024-09-11,16 to 17,1.31,1.45
2024-09-11,18 to 24,1.41,1.49
2024-09-11,25 to 39,1.35,1.36
2024-09-11,40 to 49,1.31,1.43
2024-09-11,50 to 64,1.57,1.61
2024-09-11,65 to 74,2.23,2.29
2024-09-11,75+,3.28,3.2
2024-09-11,All Ages,1.81,1.87
2024-09-12,00 to 11,2.03,2.18
2024-09-12,12 to 15,1.17,1.33
2024-09-12,16 to 17,1.35,1.39
2024-09-12,18 to 24,1.32,1.44
2024-09-12,25 to 39,1.34,1.33
2024-09-12,40 to 49,1.25,1.38
2024-09-12,50 to 64,1.52,1.58
2024-09-12,65 to 74,2.07,2.26
2024-09-12,75+,3.14,3.2
2024-09-12,All Ages,1.75,1.84
2024-09-13,00 to 11,1.9,2.1
2024-09-13,12 to 15,1.09,1.27
2024-09-13,16 to 17,1.02,1.34
2024-09-13,18 to 24,1.16,1.4
2024-09-13,25 to 39,1.06,1.29
2024-09-13,40 to 49,1.15,1.34
2024-09-13,50 to 64,1.45,1.56
2024-09-13,65 to 74,2.02,2.24
2024-09-13,75+,2.92,3.18
2024-09-13,All Ages,1.61,1.8
2024-09-14,00 to 11,1.85,2.03
2024-09-14,12 to 15,0.67,1.21
2024-09-14,16 to 17,0.98,1.32
2024-09-14,18 to 24,1.18,1.34
2024-09-14,25 to 39,1.09,1.26
2024-09-14,40 to 49,1.17,1.31
2024-09-14,50 to 64,1.56,1.54
2024-09-14,65 to 74,2.25,2.19
2024-09-14,75+,3.42,3.17
2024-09-14,All Ages,1.69,1.76
2024-09-15,00 to 11,1.76,1.94
2024-09-15,12 to 15,1.02,1.15
2024-09-15,16 to 17,1.27,1.3
2024-09-15,18 to 24,1.33,1.33
2024-09-15,25 to 39,1.01,1.23
2024-09-15,40 to 49,1.24,1.27
2024-09-15,50 to 64,1.68,1.53
2024-09-15,65 to 74,2.29,2.15
2024-09-15,75+,3.38,3.13
2024-09-15,All Ages,1.71,1.72
2024-09-16,00 to 11,1.53,1.86
2024-09-16,12 to 15,1.01,1.08
2024-09-16,16 to 17,1.22,1.25
2024-09-16,18 to 24,1.14,1.29
2024-09-16,25 to 39,1.05,1.18
2024-09-16,40 to 49,1.15,1.23
2024-09-16,50 to 64,1.35,1.51
2024-09-16,65 to 74,1.79,2.1
2024-09-16,75+,2.69,3.09
2024-09-16,All Ages,1.47,1.68
2024-09-17,00 to 11,1.4,1.78
2024-09-17,12 to 15,0.92,1.02
2024-09-17,16 to 17,1.1,1.18
2024-09-17,18 to 24,1.21,1.25
2024-09-17,25 to 39,1.07,1.14
2024-09-17,40 to 49,1.11,1.19
2024-09-17,50 to 64,1.3,1.48
2024-09-17,65 to 74,1.86,2.06
2024-09-17,75+,2.79,3.07
2024-09-17,All Ages,1.46,1.64
2024-09-18,00 to 11,1.53,1.71
2024-09-18,12 to 15,0.73,0.95
2024-09-18,16 to 17,0.96,1.13
2024-09-18,18 to 24,1.08,1.2
2024-09-18,25 to 39,0.98,1.09
2024-09-18,40 to 49,1.14,1.17
2024-09-18,50 to 64,1.25,1.43
2024-09-18,65 to 74,1.89,2.01
2024-09-18,75+,2.69,2.98
2024-09-18,All Ages,1.43,1.58
2024-09-19,00 to 11,1.25,1.6
2024-09-19,12 to 15,0.7,0.87
2024-09-19,16 to 17,0.88,1.06
2024-09-19,18 to 24,1.01,1.16
2024-09-19,25 to 39,0.96,1.03
2024-09-19,40 to 49,1.1,1.15
2024-09-19,50 to 64,1.26,1.4
2024-09-19,65 to 74,1.74,1.97
2024-09-19,75+,2.62,2.91
2024-09-19,All Ages,1.36,1.53
2024-09-20,00 to 11,1.36,1.53
2024-09-20,12 to 15,0.52,0.8
2024-09-20,16 to 17,0.92,1.05
2024-09-20,18 to 24,0.85,1.11
2024-09-20,25 to 39,0.82,1
2024-09-20,40 to 49,0.97,1.12
2024-09-20,50 to 64,1.14,1.35
2024-09-20,65 to 74,1.75,1.93
2024-09-20,75+,2.6,2.86
2024-09-20,All Ages,1.3,1.48
2024-09-21,00 to 11,1.34,1.46
2024-09-21,12 to 15,0.61,0.79
2024-09-21,16 to 17,0.67,1.01
2024-09-21,18 to 24,0.78,1.06
2024-09-21,25 to 39,0.8,0.96
2024-09-21,40 to 49,0.98,1.1
2024-09-21,50 to 64,1.19,1.31
2024-09-21,65 to 74,1.97,1.89
2024-09-21,75+,2.74,2.77
2024-09-21,All Ages,1.32,1.43
2024-09-22,00 to 11,1.21,1.38
2024-09-22,12 to 15,0.75,0.76
2024-09-22,16 to 17,0.73,0.94
2024-09-22,18 to 24,0.83,0.99
2024-09-22,25 to 39,0.74,0.92
2024-09-22,40 to 49,0.97,1.06
2024-09-22,50 to 64,1.31,1.26
2024-09-22,65 to 74,1.89,1.84
2024-09-22,75+,2.7,2.69
2024-09-22,All Ages,1.3,1.38
2024-09-23,00 to 11,1.14,1.31
2024-09-23,12 to 15,0.6,0.69
2024-09-23,16 to 17,0.87,0.89
2024-09-23,18 to 24,0.79,0.94
2024-09-23,25 to 39,0.79,0.88
2024-09-23,40 to 49,0.79,1.01
2024-09-23,50 to 64,1.04,1.21
2024-09-23,65 to 74,1.49,1.79
2024-09-23,75+,2.34,2.63
2024-09-23,All Ages,1.15,1.33
2024-09-24,00 to 11,1.03,1.26
2024-09-24,12 to 15,0.5,0.63
2024-09-24,16 to 17,0.86,0.85
2024-09-24,18 to 24,0.77,0.88
2024-09-24,25 to 39,0.78,0.84
2024-09-24,40 to 49,0.83,0.97
2024-09-24,50 to 64,1.05,1.17
2024-09-24,65 to 74,1.56,1.75
2024-09-24,75+,2.19,2.55
2024-09-24,All Ages,1.12,1.28
2024-09-25,00 to 11,0.95,1.18
2024-09-25,12 to 15,0.57,0.6
2024-09-25,16 to 17,0.58,0.79
2024-09-25,18 to 24,0.78,0.83
2024-09-25,25 to 39,0.71,0.8
2024-09-25,40 to 49,0.81,0.92
2024-09-25,50 to 64,1.02,1.14
2024-09-25,65 to 74,1.54,1.7
2024-09-25,75+,2.33,2.49
2024-09-25,All Ages,1.1,1.23
2024-09-26,00 to 11,1.01,1.15
2024-09-26,12 to 15,0.44,0.56
2024-09-26,16 to 17,0.6,0.75
2024-09-26,18 to 24,0.68,0.79
2024-09-26,25 to 39,0.72,0.77
2024-09-26,40 to 49,0.71,0.86
2024-09-26,50 to 64,0.99,1.1
2024-09-26,65 to 74,1.47,1.66
2024-09-26,75+,2.2,2.43
2024-09-26,All Ages,1.06,1.19
2024-09-27,00 to 11,0.98,1.1
2024-09-27,12 to 15,0.43,0.55
2024-09-27,16 to 17,0.37,0.68
2024-09-27,18 to 24,0.67,0.76
2024-09-27,25 to 39,0.57,0.73
2024-09-27,40 to 49,0.72,0.83
2024-09-27,50 to 64,0.94,1.07
2024-09-27,65 to 74,1.49,1.62
2024-09-27,75+,2.18,2.37
2024-09-27,All Ages,1.03,1.15
2024-09-28,00 to 11,0.94,1.04
2024-09-28,12 to 15,0.3,0.52
2024-09-28,16 to 17,0.46,0.65
2024-09-28,18 to 24,0.59,0.73
2024-09-28,25 to 39,0.56,0.7
